epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.24789,1.9717,3.92932,1.48354,0.00287,0.5,0.01567,0.00709,1.30802,4.10339,1.25771,1.667e-05,1.667e-05,1.667e-05
2,8.39645,1.721,3.76179,1.41685,0.00292,0.5,0.02943,0.01216,1.1428,4.04591,1.13297,4.95149e-05,4.95149e-05,4.95149e-05
3,12.4051,1.35576,3.62747,1.28948,0.00302,0.5,0.12563,0.08779,1.02493,3.94162,0.95869,8.16997e-05,8.16997e-05,8.16997e-05
4,16.2598,1.23798,3.55062,1.17425,0.00298,0.5,0.24939,0.17471,1.1423,3.92131,0.90251,0.000113224,0.000113224,0.000113224
5,19.8972,1.18246,3.35459,1.07078,0.00307,0.5,0.24935,0.14987,1.35997,3.80294,0.92981,0.000144089,0.000144089,0.000144089
6,23.4007,1.37815,3.09212,1.28623,0.00324,0.5,0.3725,0.17448,1.47388,3.79127,0.96492,0.000174293,0.000174293,0.000174293
7,27.0073,1.08221,2.51196,1.02907,0.00336,0.5,0.33083,0.09139,1.53481,3.71876,0.98091,0.000203837,0.000203837,0.000203837
8,30.681,1.09464,1.99365,0.9719,0.00357,0.5,0.3725,0.08747,1.4594,3.57292,0.9759,0.000232722,0.000232722,0.000232722
9,34.3996,1.1047,1.34549,0.96786,0.55457,0.25,0.24879,0.08748,1.41253,3.46471,0.97151,0.000260946,0.000260946,0.000260946
10,37.9155,1.25878,1.71393,1.17738,0.0157,0.57143,0.46597,0.24798,1.45159,3.27793,0.9777,0.000288509,0.000288509,0.000288509
11,41.3567,1.24318,1.22438,1.00885,0.01835,0.64286,0.50206,0.3627,1.39555,3.10482,0.9561,0.000315413,0.000315413,0.000315413
12,44.8246,1.06528,1.10861,1.06624,0.01726,0.82143,0.74942,0.39733,1.47972,3.00845,0.97874,0.000341657,0.000341657,0.000341657
13,48.3984,1.09296,1.83599,1.04012,0.0187,0.85714,0.75056,0.39075,1.50143,2.99486,0.97786,0.00036724,0.00036724,0.00036724
14,51.9723,1.0198,1.14607,0.94181,0.69173,0.75,0.74871,0.38294,1.4901,3.05142,0.9978,0.000392163,0.000392163,0.000392163
15,55.5385,0.95039,1.02922,0.92847,0.77845,0.25,0.66548,0.36212,1.44639,3.14847,0.96017,0.000416427,0.000416427,0.000416427
16,59.0604,0.9853,0.99604,0.9601,0.82752,0.25,0.58043,0.29581,1.36906,3.2258,0.94246,0.00044003,0.00044003,0.00044003
17,62.5505,0.98143,0.91839,0.94373,0.81915,0.25,0.52962,0.25955,1.37392,3.24535,0.96484,0.000462973,0.000462973,0.000462973
18,66.0855,1.08307,1.09081,0.95518,0.92304,0.5,0.6379,0.28058,1.51908,3.24519,0.99401,0.000485255,0.000485255,0.000485255
19,69.501,0.84964,1.06877,0.95293,1,0.43645,0.65668,0.31429,1.60515,3.18337,1.02181,0.000506878,0.000506878,0.000506878
20,72.8929,1.00226,0.92379,0.96587,1,0.44628,0.70556,0.29403,1.56389,3.12634,0.98801,0.000527841,0.000527841,0.000527841
21,76.3669,1.04761,1.10096,0.97429,1,0.47067,0.74972,0.33134,1.36615,3.00827,0.92594,0.000548143,0.000548143,0.000548143
22,79.7753,0.99085,0.99261,0.95241,1,0.46528,0.75359,0.31068,1.38525,2.9182,0.94604,0.000567785,0.000567785,0.000567785
23,83.1697,0.82661,1.00757,0.92182,0.82278,0.5,0.67529,0.35997,1.35866,2.74807,0.94359,0.000586767,0.000586767,0.000586767
24,86.6297,1.031,0.88556,0.94768,0.81096,0.5,0.70947,0.36482,1.31581,2.78303,0.89937,0.000605089,0.000605089,0.000605089
25,90.0837,0.8665,0.83074,0.90535,0.72577,0.25,0.41841,0.26603,1.25898,2.84521,0.88762,0.000622751,0.000622751,0.000622751
26,93.7309,0.98807,0.86569,0.98109,0.73601,0.25,0.50223,0.36895,1.20894,2.87836,0.85776,0.000639753,0.000639753,0.000639753
27,97.4214,0.80258,1.05914,0.93693,0.957,0.25,0.4973,0.34699,1.24908,2.86856,0.85662,0.000656095,0.000656095,0.000656095
28,100.797,0.93725,0.84502,0.95914,0.957,0.25,0.4973,0.34699,1.24908,2.86856,0.85662,0.000671776,0.000671776,0.000671776
29,104.314,0.91129,0.8697,0.95336,0.9574,0.25,0.48918,0.30954,1.41027,2.86721,0.90851,0.000686797,0.000686797,0.000686797
30,108.045,0.95566,0.91316,1.00631,0.9469,0.25,0.49766,0.2179,1.74142,2.95226,1.02352,0.000701159,0.000701159,0.000701159
31,111.769,0.8673,0.88593,0.96404,0.9469,0.25,0.49766,0.2179,1.74142,2.95226,1.02352,0.00071486,0.00071486,0.00071486
32,115.459,1.04063,0.8801,0.99053,0.91629,0.25,0.50545,0.21503,1.85852,2.93784,1.05851,0.000727901,0.000727901,0.000727901
33,119.193,0.99393,0.94542,1.05074,0.90615,0.25,0.50707,0.24812,1.73652,2.82643,1.02495,0.000740281,0.000740281,0.000740281
34,122.825,1.08118,1.01665,1.14061,0.90615,0.25,0.50707,0.24812,1.73652,2.82643,1.02495,0.000752002,0.000752002,0.000752002
35,126.53,1.05406,0.83839,0.95018,0.92503,0.25,0.54827,0.32414,1.46792,2.58633,0.93486,0.000763063,0.000763063,0.000763063
36,130.406,0.86621,0.77784,0.9153,0.6331,0.50223,0.64261,0.3561,1.27622,2.21884,0.88225,0.000773463,0.000773463,0.000773463
37,134.328,0.93327,0.84111,0.95574,0.6331,0.50223,0.64261,0.3561,1.27622,2.21884,0.88225,0.000783203,0.000783203,0.000783203
38,138.236,0.98829,0.95549,1.01538,0.77541,0.45967,0.69832,0.3546,1.35271,1.99486,0.92122,0.000792283,0.000792283,0.000792283
39,142.023,0.9518,0.7419,0.90787,0.76525,0.50103,0.71912,0.32797,1.62895,1.95971,1.04519,0.000800703,0.000800703,0.000800703
40,145.789,0.93386,0.7562,0.93231,0.76525,0.50103,0.71912,0.32797,1.62895,1.95971,1.04519,0.000808463,0.000808463,0.000808463
41,149.174,0.89896,0.79685,0.92892,0.75471,0.5,0.70119,0.28111,1.81754,1.97816,1.16555,0.000815563,0.000815563,0.000815563
42,152.637,0.89588,0.77347,0.94369,0.6962,0.5,0.6426,0.26014,1.75345,2.0635,1.18119,0.000822003,0.000822003,0.000822003
43,155.984,0.91509,0.84081,0.95624,0.6962,0.5,0.6426,0.26014,1.75345,2.0635,1.18119,0.000827782,0.000827782,0.000827782
44,159.379,0.88389,0.79857,0.9591,0.49319,0.25,0.36372,0.23915,1.54492,2.27978,1.11881,0.000832902,0.000832902,0.000832902
45,162.767,0.84656,0.82898,0.96096,0.49319,0.25,0.36372,0.23915,1.54492,2.27978,1.11881,0.000837361,0.000837361,0.000837361
46,166.101,0.89665,0.82297,0.95774,0.5,0.23835,0.32939,0.22705,1.45795,2.29632,1.08792,0.00084116,0.00084116,0.00084116
47,169.503,0.94041,0.86699,0.99487,0.5,0.23835,0.32939,0.22705,1.45795,2.29632,1.08792,0.000844299,0.000844299,0.000844299
48,173.111,0.87045,0.79875,0.94853,0.42492,0.25,0.38813,0.24669,1.58679,2.20826,1.0971,0.000846778,0.000846778,0.000846778
49,176.443,1.03451,0.82087,0.96062,0.42492,0.25,0.38813,0.24669,1.58679,2.20826,1.0971,0.000848596,0.000848596,0.000848596
50,179.88,0.75813,0.73362,0.88937,0.43968,0.2612,0.43529,0.22663,1.81771,2.00353,1.16782,0.000849755,0.000849755,0.000849755
51,183.231,0.83647,0.77975,0.96103,0.43968,0.2612,0.43529,0.22663,1.81771,2.00353,1.16782,0.000841835,0.000841835,0.000841835
52,186.619,0.8419,1.0392,1.00224,0.43993,0.26252,0.4607,0.26061,1.82531,1.83585,1.17783,0.000825332,0.000825332,0.000825332
53,190.045,0.92976,0.79989,0.92198,0.43993,0.26252,0.4607,0.26061,1.82531,1.83585,1.17783,0.000808828,0.000808828,0.000808828
54,193.477,0.96922,0.74736,0.94315,0.80506,0.5,0.72028,0.32011,1.65942,1.66472,1.10666,0.000792325,0.000792325,0.000792325
55,196.855,0.76789,0.70695,0.92919,0.80506,0.5,0.72028,0.32011,1.65942,1.66472,1.10666,0.000775822,0.000775822,0.000775822
56,200.309,0.72527,0.72311,0.90053,0.819,0.50678,0.73382,0.35973,1.36742,1.44404,0.97859,0.000759318,0.000759318,0.000759318
57,203.801,0.8005,0.72823,0.90886,0.819,0.50678,0.73382,0.35973,1.36742,1.44404,0.97859,0.000742815,0.000742815,0.000742815
58,207.221,0.92825,0.78099,0.95642,0.60585,0.64306,0.74971,0.38428,1.31637,1.41529,0.96282,0.000726312,0.000726312,0.000726312
59,210.691,0.88079,0.69274,0.90943,0.60585,0.64306,0.74971,0.38428,1.31637,1.41529,0.96282,0.000709809,0.000709809,0.000709809
60,214.114,0.66834,0.79025,0.90044,0.60388,0.69391,0.76015,0.37075,1.36665,1.39332,0.95881,0.000693305,0.000693305,0.000693305
61,217.724,0.79065,0.71531,0.8812,0.60388,0.69391,0.76015,0.37075,1.36665,1.39332,0.95881,0.000676802,0.000676802,0.000676802
62,221.273,0.88647,0.72183,0.8901,0.62786,0.70502,0.75782,0.39676,1.42325,1.37519,0.97067,0.000660299,0.000660299,0.000660299
