epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4641,1.82372,3.88144,1.4619,0.17616,0.32857,0.17953,0.12451,1.02429,3.35469,1.0467,5.001e-05,5.001e-05,5.001e-05
2,49.2618,1.51923,2.13681,1.26058,0.63495,0.78571,0.81371,0.56986,1.02071,3.26712,0.8468,0.000115535,0.000115535,0.000115535
3,70.8775,1.41612,1.71303,1.13129,0.86074,0.77435,0.89165,0.48511,1.37829,1.84607,0.92424,0.000179739,0.000179739,0.000179739
4,92.0095,1.2609,1.1912,1.08932,0.96826,0.59758,0.65248,0.29354,1.32487,1.8341,0.94253,0.000242624,0.000242624,0.000242624
5,113.125,1.08732,0.97214,0.96461,0.94276,0.57248,0.65843,0.36691,1.32084,1.32017,0.9211,0.000304187,0.000304187,0.000304187
6,134.26,1.05203,0.84008,0.96159,0.85156,0.7,0.75725,0.45701,1.24952,1.07297,0.9046,0.000364431,0.000364431,0.000364431
7,155.345,1.0324,0.78341,0.92876,0.81547,0.67478,0.75102,0.44545,1.21925,1.10197,0.88994,0.000423355,0.000423355,0.000423355
8,176.417,1.09949,0.78773,0.99001,0.81243,0.65869,0.72798,0.37137,1.29566,1.2011,0.91508,0.000480958,0.000480958,0.000480958
9,197.607,1.07409,0.76983,1.00055,0.65985,0.72857,0.76216,0.46334,1.23211,1.06573,0.90897,0.000537241,0.000537241,0.000537241
10,218.787,0.99454,0.68987,0.93263,0.92956,0.56444,0.75436,0.4481,1.29826,1.1684,0.93356,0.000592203,0.000592203,0.000592203
11,239.844,0.99745,0.73549,0.93046,1,0.55748,0.79449,0.57019,1.04152,0.90217,0.85016,0.000645846,0.000645846,0.000645846
12,261.119,0.95134,0.72441,0.97738,0.78898,0.76731,0.73523,0.42052,1.25629,0.92764,0.90557,0.000698168,0.000698168,0.000698168
13,282.379,1.00297,0.68307,0.95065,0.50467,0.64286,0.57818,0.37975,1.12547,1.10446,0.87673,0.00074917,0.00074917,0.00074917
14,303.486,0.96761,0.70029,0.98128,0.71374,0.77143,0.75963,0.49449,0.89985,0.80412,0.81855,0.000798851,0.000798851,0.000798851
15,324.397,0.86355,0.61707,0.94443,0.90563,0.97214,0.99431,0.56424,1.07313,0.94095,0.84435,0.000847213,0.000847213,0.000847213
16,345.438,0.96086,0.6337,1.03033,0.88567,0.98571,0.96139,0.58179,0.98963,0.94783,0.80891,0.000894254,0.000894254,0.000894254
17,366.566,0.90367,0.58669,0.9567,0.92323,1,0.99389,0.5594,1.02151,0.87156,0.82216,0.000939975,0.000939975,0.000939975
18,387.592,1.0632,0.64536,0.95801,0.89601,0.98571,0.9936,0.63254,0.8809,0.89282,0.79857,0.000984375,0.000984375,0.000984375
19,408.573,1.00972,0.61406,0.96742,0.75823,0.98571,0.88874,0.48703,1.08722,0.91105,0.85174,0.00102746,0.00102746,0.00102746
20,429.57,0.92588,0.57888,0.92615,0.6689,0.72857,0.74525,0.46365,1.05315,0.85641,0.87281,0.00106922,0.00106922,0.00106922
21,450.621,0.94248,0.6055,0.99259,0.7657,0.78571,0.81081,0.51397,0.90149,0.76746,0.83528,0.00110966,0.00110966,0.00110966
22,471.518,0.93575,0.56789,0.94494,0.74522,0.82857,0.82058,0.49398,1.11446,0.73459,0.90093,0.00114877,0.00114877,0.00114877
23,492.451,0.8935,0.54528,0.97476,0.78796,0.78571,0.82543,0.44681,1.20322,0.76991,0.94281,0.00118657,0.00118657,0.00118657
24,513.388,0.9887,0.55862,0.94365,0.84625,0.8786,0.8565,0.4937,1.05567,0.73727,0.90449,0.00122305,0.00122305,0.00122305
25,534.164,0.88968,0.57137,0.9405,0.86699,0.84694,0.94045,0.47424,1.01087,0.70512,0.89038,0.00125821,0.00125821,0.00125821
26,554.963,0.84159,0.55143,0.94132,0.65591,0.87983,0.82119,0.41407,1.06186,0.89864,0.88278,0.00125442,0.00125442,0.00125442
27,575.988,0.85192,0.5653,0.95209,0.7133,0.63771,0.70496,0.4144,1.1068,0.86067,0.88577,0.00123791,0.00123791,0.00123791
28,596.797,0.83517,0.54251,0.92978,1,0.71229,0.85058,0.45491,1.23196,0.73405,0.95303,0.00122141,0.00122141,0.00122141
29,617.852,0.82676,0.53862,0.92247,0.98576,0.85714,0.9705,0.45069,1.27614,0.74263,0.95588,0.00120491,0.00120491,0.00120491
30,638.667,0.82998,0.51715,0.93244,0.98486,0.94831,0.98912,0.42542,1.22193,0.80043,0.97484,0.0011884,0.0011884,0.0011884
