epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.887,1.18695,1.39171,1.20795,0.85488,0.72649,0.80067,0.61865,0.79456,0.8785,0.90669,0.00038341,0.00038341,0.00038341
2,316.08,0.95817,0.67066,1.04583,0.954,0.79897,0.91953,0.6802,1.00964,0.76537,0.98087,0.000775733,0.000775733,0.000775733
3,471.424,0.93794,0.6207,1.01794,0.76387,0.60137,0.75008,0.43386,0.80663,0.88764,0.96956,0.00116014,0.00116014,0.00116014
4,628.101,0.9605,0.63926,1.04687,0.68466,0.79777,0.77184,0.54309,0.87287,1.14048,0.95939,0.00153662,0.00153662,0.00153662
5,785.991,0.92002,0.62352,1.00632,0.54866,0.76566,0.65269,0.44837,1.2384,1.72138,1.15013,0.00160099,0.00160099,0.00160099
6,940.447,0.96412,0.61649,1.02639,0.737,0.73898,0.86885,0.67804,0.77524,0.98587,0.90891,0.00158448,0.00158448,0.00158448
7,1094.62,0.93833,0.60038,1.0296,0.95243,0.76958,0.93343,0.73291,0.74917,0.6474,0.90585,0.00156798,0.00156798,0.00156798
8,1248.93,0.9058,0.57392,1.00512,0.92656,0.85082,0.92681,0.75771,0.69795,0.6319,0.86707,0.00155148,0.00155148,0.00155148
9,1403.37,0.89313,0.56079,1.01024,0.94168,0.91745,0.96206,0.78353,0.67351,0.44857,0.85325,0.00153497,0.00153497,0.00153497
10,1557.8,0.84384,0.51696,0.979,0.89755,0.84645,0.91324,0.76934,0.71337,0.48102,0.85883,0.00151847,0.00151847,0.00151847
11,1712.23,0.84291,0.51092,0.97933,0.9717,0.82091,0.93228,0.79391,0.6636,0.43788,0.84768,0.00150197,0.00150197,0.00150197
12,1866.64,0.85005,0.51257,0.97902,0.97507,0.84753,0.91811,0.75645,0.7054,0.43508,0.87343,0.00148546,0.00148546,0.00148546
13,2020.94,0.80644,0.48792,0.96477,0.92796,0.86978,0.96492,0.80682,0.68484,0.42637,0.86323,0.00146896,0.00146896,0.00146896
14,2175.21,0.81614,0.48271,0.984,0.91427,0.92628,0.97336,0.78258,0.64263,0.41031,0.84551,0.00145246,0.00145246,0.00145246
15,2329.17,0.77073,0.45829,0.95448,0.9425,0.91532,0.95072,0.78468,0.66004,0.38618,0.85768,0.00143595,0.00143595,0.00143595
16,2484.9,0.80228,0.48015,0.97244,0.92758,0.91676,0.95993,0.81379,0.59625,0.36859,0.83302,0.00141945,0.00141945,0.00141945
17,2639.11,0.77788,0.45508,0.96192,0.93256,0.84222,0.91104,0.75187,0.65356,0.41486,0.86093,0.00140295,0.00140295,0.00140295
18,2793.36,0.77327,0.46045,0.957,0.94734,0.85852,0.92106,0.75429,0.77802,0.40105,0.89946,0.00138644,0.00138644,0.00138644
19,2947.6,0.7842,0.45352,0.95275,0.89516,0.94523,0.93716,0.81344,0.62617,0.36949,0.83189,0.00136994,0.00136994,0.00136994
20,3101.85,0.77148,0.44677,0.95087,0.95504,0.9395,0.97637,0.8422,0.61439,0.37054,0.83311,0.00135344,0.00135344,0.00135344
21,3256.22,0.71264,0.42668,0.94065,0.94168,0.91676,0.9546,0.82934,0.58686,0.34994,0.82684,0.00133693,0.00133693,0.00133693
22,3410.34,0.73134,0.43352,0.94293,0.9284,0.86484,0.96018,0.80525,0.65091,0.39505,0.84583,0.00132043,0.00132043,0.00132043
23,3564.59,0.74953,0.45009,0.9474,0.95949,0.86778,0.93299,0.79268,0.66836,0.38803,0.85608,0.00130393,0.00130393,0.00130393
24,3718.82,0.73859,0.43766,0.94396,0.94355,0.84541,0.9431,0.79728,0.62607,0.35577,0.82948,0.00128742,0.00128742,0.00128742
25,3873,0.72596,0.42807,0.9381,0.91734,0.96564,0.98026,0.82561,0.59903,0.34719,0.83026,0.00127092,0.00127092,0.00127092
26,4027.02,0.69596,0.42011,0.93932,0.93835,0.9196,0.94578,0.82105,0.63053,0.3406,0.83832,0.00125442,0.00125442,0.00125442
27,4181.29,0.71485,0.41836,0.93366,0.95692,0.93833,0.98243,0.83253,0.67234,0.37312,0.84292,0.00123791,0.00123791,0.00123791
28,4335.71,0.71553,0.4204,0.94226,0.97072,0.94725,0.97439,0.84617,0.60543,0.33971,0.82508,0.00122141,0.00122141,0.00122141
29,4490.05,0.67997,0.39807,0.91714,0.99472,0.86584,0.97653,0.84383,0.58902,0.34298,0.82305,0.00120491,0.00120491,0.00120491
30,4644.28,0.6923,0.40486,0.92275,0.90571,0.91836,0.97096,0.84336,0.54607,0.32765,0.81873,0.0011884,0.0011884,0.0011884
31,4799.11,0.69166,0.40082,0.92468,0.95592,0.84548,0.95648,0.81487,0.59904,0.36623,0.82622,0.0011719,0.0011719,0.0011719
32,4953.37,0.67893,0.39295,0.93198,0.86334,0.94725,0.96297,0.83326,0.60541,0.33619,0.82981,0.0011554,0.0011554,0.0011554
33,5107.79,0.70967,0.41546,0.92931,0.95967,0.88267,0.96967,0.81711,0.66412,0.34188,0.84598,0.00113889,0.00113889,0.00113889
34,5262.14,0.6988,0.41084,0.92626,0.99403,0.88352,0.97723,0.83832,0.61284,0.35566,0.83316,0.00112239,0.00112239,0.00112239
35,5416.38,0.68231,0.39983,0.9286,0.93109,0.89725,0.9613,0.82505,0.61998,0.33825,0.83105,0.00110589,0.00110589,0.00110589
36,5570.8,0.63613,0.3799,0.91463,0.97261,0.85305,0.9558,0.85435,0.60496,0.3311,0.82985,0.00108938,0.00108938,0.00108938
37,5725.33,0.6339,0.38373,0.91184,0.9674,0.86203,0.96575,0.83868,0.56741,0.32916,0.82162,0.00107288,0.00107288,0.00107288
38,5879.93,0.65611,0.38517,0.92276,0.86071,0.95,0.96356,0.84024,0.58185,0.32981,0.82367,0.00105638,0.00105638,0.00105638
39,6034.09,0.64287,0.37967,0.9077,0.96559,0.85509,0.9488,0.82047,0.59623,0.33599,0.8242,0.00103987,0.00103987,0.00103987
40,6188.25,0.6638,0.38905,0.91131,0.86759,0.99725,0.96622,0.84922,0.57235,0.32611,0.82099,0.00102337,0.00102337,0.00102337
41,6342.44,0.63875,0.37911,0.91685,0.87102,0.94783,0.96565,0.83329,0.56765,0.32384,0.81713,0.00100687,0.00100687,0.00100687
42,6496.95,0.64093,0.38407,0.90051,0.98314,0.8637,0.95976,0.83803,0.56502,0.31021,0.81268,0.000990365,0.000990365,0.000990365
43,6651.54,0.63467,0.3786,0.90951,0.97253,0.86112,0.96073,0.83292,0.57711,0.32171,0.82228,0.000973861,0.000973861,0.000973861
44,6805.74,0.62677,0.35947,0.90719,0.85877,0.99725,0.96615,0.83747,0.56485,0.30559,0.81777,0.000957358,0.000957358,0.000957358
45,6959.8,0.61909,0.35949,0.90147,0.8615,0.975,0.96319,0.85061,0.55526,0.3149,0.81232,0.000940855,0.000940855,0.000940855
46,7114.99,0.61821,0.36911,0.89743,0.97865,0.85715,0.94636,0.82253,0.55924,0.31766,0.82017,0.000924352,0.000924352,0.000924352
47,7271.27,0.5993,0.35493,0.89693,0.95957,0.84844,0.93011,0.8136,0.56522,0.31201,0.82241,0.000907848,0.000907848,0.000907848
48,7425.58,0.63199,0.36366,0.92122,0.97267,0.85451,0.92946,0.83275,0.53515,0.32282,0.81437,0.000891345,0.000891345,0.000891345
49,7579.65,0.63862,0.3652,0.90771,0.97272,0.85944,0.95067,0.82852,0.58275,0.32269,0.82004,0.000874842,0.000874842,0.000874842
50,7733.87,0.61303,0.35534,0.90169,0.9751,0.86223,0.94577,0.8163,0.57144,0.32437,0.82009,0.000858338,0.000858338,0.000858338
51,7889.47,0.58851,0.34974,0.89813,0.97851,0.86226,0.95333,0.83164,0.56691,0.3139,0.81776,0.000841835,0.000841835,0.000841835
52,8046.47,0.58157,0.34157,0.89004,0.98299,0.87033,0.96259,0.85024,0.55066,0.30475,0.81705,0.000825332,0.000825332,0.000825332
53,8200.88,0.59058,0.34669,0.89529,0.97536,0.87211,0.96259,0.86072,0.54456,0.29856,0.80853,0.000808828,0.000808828,0.000808828
54,8355.23,0.56002,0.33769,0.88983,0.88941,0.94822,0.96052,0.8641,0.53339,0.30375,0.81021,0.000792325,0.000792325,0.000792325
55,8509.74,0.56718,0.33626,0.88871,0.92034,0.86285,0.92055,0.82857,0.55834,0.30522,0.81302,0.000775822,0.000775822,0.000775822
56,8663.71,0.58313,0.33261,0.89876,0.97241,0.85859,0.9153,0.82492,0.55625,0.31093,0.8155,0.000759318,0.000759318,0.000759318
57,8817.62,0.57683,0.33336,0.88302,0.97109,0.85975,0.93905,0.83969,0.53188,0.30164,0.80719,0.000742815,0.000742815,0.000742815
58,8971.83,0.58958,0.33929,0.8928,0.95237,0.86135,0.93015,0.83318,0.54616,0.3118,0.81261,0.000726312,0.000726312,0.000726312
59,9126.09,0.55645,0.33001,0.88305,0.952,0.8615,0.9547,0.82261,0.57233,0.32202,0.81934,0.000709809,0.000709809,0.000709809
60,9279.99,0.59136,0.34116,0.89491,0.9511,0.85168,0.96319,0.82939,0.58715,0.32876,0.82591,0.000693305,0.000693305,0.000693305
61,9434.12,0.59093,0.34072,0.88857,0.97077,0.85105,0.94866,0.82642,0.54983,0.30636,0.81548,0.000676802,0.000676802,0.000676802
62,9588.04,0.56619,0.32781,0.8889,0.97603,0.85919,0.9456,0.84588,0.55245,0.29933,0.80972,0.000660299,0.000660299,0.000660299
63,9742.18,0.55065,0.32646,0.88776,0.94059,0.85283,0.95974,0.85067,0.5218,0.29161,0.8012,0.000643795,0.000643795,0.000643795
64,9896.27,0.53525,0.31344,0.87537,0.93953,0.84925,0.95964,0.84256,0.52685,0.30167,0.80509,0.000627292,0.000627292,0.000627292
65,10050.4,0.53325,0.31999,0.88081,0.97532,0.85769,0.93125,0.83717,0.50945,0.30408,0.79979,0.000610789,0.000610789,0.000610789
66,10204.7,0.53545,0.31811,0.88213,0.9745,0.86071,0.9149,0.83279,0.53355,0.30915,0.81087,0.000594286,0.000594286,0.000594286
67,10358.8,0.55236,0.3219,0.88522,0.97035,0.84518,0.92058,0.84073,0.53698,0.30726,0.80784,0.000577782,0.000577782,0.000577782
68,10512.8,0.54967,0.32438,0.87794,0.85307,0.91951,0.94512,0.85107,0.54196,0.3086,0.81226,0.000561279,0.000561279,0.000561279
69,10667.4,0.5144,0.30772,0.87031,0.94402,0.84419,0.92384,0.81857,0.57199,0.30619,0.82379,0.000544776,0.000544776,0.000544776
70,10821.6,0.50923,0.3029,0.87667,0.95776,0.85577,0.90351,0.80951,0.55345,0.31124,0.81599,0.000528272,0.000528272,0.000528272
71,10975.6,0.5295,0.30874,0.8772,0.978,0.86123,0.90157,0.82477,0.54929,0.31376,0.81243,0.000511769,0.000511769,0.000511769
72,11129.7,0.53845,0.30924,0.8748,0.97559,0.86434,0.91206,0.82551,0.56367,0.30941,0.81332,0.000495266,0.000495266,0.000495266
73,11283.8,0.51782,0.30339,0.86863,0.95328,0.86217,0.93763,0.83452,0.54295,0.30457,0.80948,0.000478762,0.000478762,0.000478762
74,11438,0.50447,0.29838,0.88156,0.95689,0.84533,0.93486,0.84017,0.53273,0.2988,0.80745,0.000462259,0.000462259,0.000462259
75,11592.2,0.48873,0.29342,0.87478,0.95193,0.85125,0.95205,0.85214,0.52974,0.29128,0.80645,0.000445756,0.000445756,0.000445756
76,11746.4,0.50894,0.30116,0.87526,0.94916,0.84942,0.94572,0.85264,0.54126,0.29442,0.81385,0.000429253,0.000429253,0.000429253
