epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,416.502,0.83563,0.68573,0.89536,0.95007,0.99485,0.995,0.52355,1.1242,0.74149,0.87075,0.000973861,0.000973861,0.000973861
44,425.869,0.86406,0.66671,0.92879,0.94707,1,0.995,0.5133,1.14712,0.72134,0.87425,0.000957358,0.000957358,0.000957358
45,435.657,0.92506,0.6866,0.9505,0.98219,0.97443,0.995,0.53724,1.06321,0.70006,0.84145,0.000940855,0.000940855,0.000940855
46,444.926,0.85414,0.8041,0.94706,0.99042,0.97783,0.995,0.51867,1.17176,0.71972,0.88061,0.000924352,0.000924352,0.000924352
47,454.218,0.86223,0.77985,0.93195,0.99177,0.97815,0.995,0.52652,1.21853,0.72697,0.89234,0.000907848,0.000907848,0.000907848
48,463.616,1.00859,0.68684,0.95177,0.97833,0.99236,0.995,0.5418,1.15445,0.70826,0.8729,0.000891345,0.000891345,0.000891345
49,473.005,0.91292,0.65346,0.92283,0.98954,0.98589,0.995,0.56655,1.06377,0.6663,0.83737,0.000874842,0.000874842,0.000874842
50,482.536,0.90472,0.64142,0.94268,0.99273,0.99489,0.995,0.54903,1.13126,0.68633,0.85336,0.000858338,0.000858338,0.000858338
51,492.043,0.85334,0.65801,0.90769,0.8964,0.9,0.89881,0.42802,1.33918,0.7368,0.92171,0.000841835,0.000841835,0.000841835
52,501.778,0.83332,0.67727,0.91015,0.89092,0.89464,0.83544,0.39284,1.3999,0.74476,0.95014,0.000825332,0.000825332,0.000825332
53,511.598,0.91064,0.7031,0.95656,0.81568,0.8808,0.81208,0.43555,1.20621,0.71354,0.88492,0.000808828,0.000808828,0.000808828
54,520.946,0.84281,0.6873,0.93706,0.82234,0.8898,0.82595,0.49504,1.02661,0.69318,0.82211,0.000792325,0.000792325,0.000792325
55,530.547,0.84915,0.65952,0.91419,0.82505,0.88112,0.81852,0.4944,1.04994,0.70691,0.82814,0.000775822,0.000775822,0.000775822
56,540.136,0.80512,0.65912,0.91488,0.86506,0.87541,0.8354,0.48085,1.17341,0.71589,0.87202,0.000759318,0.000759318,0.000759318
57,549.651,0.7851,0.6326,0.88708,0.85411,0.88057,0.81589,0.45395,1.22911,0.72151,0.89034,0.000742815,0.000742815,0.000742815
58,559.093,0.84495,0.64805,0.90475,0.84862,0.88689,0.84851,0.56169,1.12181,0.69874,0.85136,0.000726312,0.000726312,0.000726312
59,568.97,0.84803,0.62487,0.89578,0.93695,0.97534,0.995,0.65579,0.98687,0.65944,0.81545,0.000709809,0.000709809,0.000709809
60,578.603,0.85047,0.61287,0.9182,0.96376,0.97815,0.995,0.63712,1.00249,0.65165,0.82229,0.000693305,0.000693305,0.000693305
61,588.388,0.778,0.58949,0.8867,0.97259,0.99735,0.995,0.58686,1.09651,0.6686,0.84527,0.000676802,0.000676802,0.000676802
